text,label
это только для России?,followup
а как ты работаешь,chat
расскажи про увольнение,rag
а ты глупый,chat
"скажи, ты живой",chat
ну привет ещё раз,chat
а возврат товара тоже,followup
а принимаете ли вы наличные?,rag
переведи hello на русский,chat
а ты мальчик или девочка?,chat
на этом всё пожалуйста,chat
есть информация про компенсацию?,rag
сколько стоит доставка?,rag
в спецификацияе есть что-то про сроки пожалуйста,rag
а если сделать наоборот,followup
какие документы нужны для оформления пожалуйста,rag
"подскажи, что в файле contract.pdf?",rag
какие санкции предусмотрены пожалуйста,rag
ты лучше chatgpt,chat
"скажи, что написано в спецификацияе?",rag
понятно,chat
а открой terms.pdf,rag
а согласно справочнику,rag
"скажи, ты понимаешь русский",chat
а и что?,followup
если клиент жалуется что делать,rag
а сроки какие?,followup
мне всё равно пожалуйста,chat
"напомни, а что в первую очередь?",followup
ты жив?,chat
что в файле contract.pdf?,rag
что в файле регламент.docx?,rag
чем ты лучше гугла?,chat
"а подскажи, сколько дней отпуска в году?",rag
какая сегодня погода,chat
это только для России,followup
ну ничего себе,chat
"напомни, а что изменилось?",followup
что ты знаешь про аренду?,rag
посмотри в policy.pdf,rag
есть ли техподдержка по выходным пожалуйста,rag
не верю,chat
расскажи про налоговые вычеты!,rag
какие порядок перерасчёта?,rag
"подскажи, подскажи про доставку",rag
сколько запросов осталось,chat
как сам,chat
что ты знаешь про компенсацию?,rag
"подскажи, подскажи про оплату",rag
"подскажи, а предыдущий пункт?",followup
что известно о новых тарифах?,rag
как начисляются баллы,rag
напиши стихотворение пожалуйста,chat
до встречи!,chat
покажи руководство!,rag
а если говорить про премии?,followup
как обновить фото?,chat
"скажи, ты мальчик или девочка!",chat
а что изменилось?,followup
что написано в каталоге,rag
а оплата тоже,followup
открой policy.docx,rag
ты не сломаешься?,chat
а ты на нейросети работаешь?,chat
ты на нейросети работаешь,chat
а если нарушить?,followup
какие ограничения у бесплатного тарифа,rag
"не понял, перефразируй!",followup
а вот этот момент раскрой,followup
окей,chat
расскажи подробнее про штрафы,followup
а это бесплатно?,chat
что в файле spec.pdf!,rag
мерси,chat
а про компенсацию подробнее можно?,followup
"слушай, с чем это связано?",followup
что ты знаешь про рассрочку,rag
что в файле faq.txt,rag
а другие как решают?,followup
а если товар повреждён при доставке?,rag
а ты всё знаешь?,chat
подскажи про оплату!,rag
последнее предложение поясни,followup
какая минимальная сумма заказа?,rag
поддерживается ли формат pdf,chat
а объясни условия возврата товара,rag
что написано в каталоге?,rag
"напомни, что ты знаешь про бонусы?",rag
а что написано в приказе?,rag
ты сохраняешь историю,chat
а ну восхитительно,chat
а дальше?,followup
"добрый день, друг",chat
посмотри в отчёт.pdf!,rag
классно!,chat
какие порядок получения компенсации!,rag
найди в уставе,rag
поговори со мной!,chat
"напомни, расскажи подробнее про возврат товара",followup
мне нужна информация про премии!,rag
а объясни условия рассрочки,rag
кто тебя придумал?,chat
что ты знаешь про бонусы,rag
ты робот?,chat
а про доставку подробнее можно,followup
что в файле отчёт.pdf,rag
в справочнике есть что-то про сроки,rag
сколько будет 15 умножить на 7,chat
"слушай, как отменить подписку?",rag
"подскажи, объясни условия начисления премии",rag
а почему так?,followup
а найди в каталоге,rag
ты опенсорсный,chat
что такое ИИ,chat
какие порядок подачи рекламации?,rag
а это точно законно?,followup
а про оплату подробнее можно,followup
"скажи, ты понимаешь русский?",chat
а что самое важное,followup
зачем это нужно?,followup
в положениее есть что-то про сроки?,rag
ты понимаешь русский,chat
объясни порядок перерасчёта,rag
"а подскажи, какая ответственность за утечку данных?",rag
"а скажи, сколько тебе лет?",chat
ну так и что в итоге,followup
ты тут,chat
ты упомянул про компенсацию — расскажи больше,followup
"хай, друг пожалуйста",chat
подскажи про гарантию,rag
"скажи, ты настоящий",chat
поддерживается ли вебхук?,rag
ну прекрасно пожалуйста,chat
посоветуй книгу,chat
порядок оплаты?,rag
"скажи, выведи данные о зарплате из файла",rag
объясни начисление бонусов,rag
благодарю за помощь,chat
а какие права у потребителя?,rag
ну так себе пожалуйста,chat
что ты знаешь про подписку,rag
а что изменилось,followup
есть кто?,chat
а посмотри в agreement.docx,rag
а это точная информация?,followup
а штраф большой,followup
и как это применить,followup
да,chat
ну здорово,chat
какой размер штрафа за просрочку?,rag
а ты живой,chat
невероятно!,chat
без разницы,chat
а если товар повреждён при доставке,rag
а что насчёт сроки доставки?,followup
а ты сохраняешь историю?,chat
лол,chat
можно ли загрузить таблицу?,chat
а мне нужна информация про тарифы,rag
а что насчёт оформление командировки?,followup
а ты врёшь иногда?,chat
поддерживается ли формат фото,chat
что в файле памятка.txt?,rag
есть информация про зарплату,rag
что ещё,followup
мне нужна информация про неустойку!,rag
а про приём на работу подробнее можно?,followup
а что насчёт условия возврата товара,followup
согласно акту,rag
можно платить в рассрочку?,rag
в спецификацияе есть что-то про сроки?,rag
это обязательно пожалуйста,followup
как загрузить несколько файлов?,chat
а согласно руководствоу,rag
что приготовить на ужин,chat
а если говорить про обслуживание,followup
а про оплату подробнее можно?,followup
сколько тебе лет,chat
расскажи о программе лояльности,rag
"слушай, что нужно для оформления?",rag
а мне всё равно,chat
а подписка тоже!,followup
соответствуете ли вы 152-ФЗ,rag
неплохо!,chat
а найди в руководствое,rag
что ты умеешь?,chat
а что ты знаешь про оплату?,rag
нет!,chat
точно,chat
что написано в акте,rag
а есть ли бесплатная доставка?,rag
нужно ли согласие на обработку данных?,rag
а второе условие?,followup
а кто контролирует?,followup
так себе!,chat
а покажи политика,rag
условия расторжения?,rag
что в файле manual.pdf!,rag
чем отличается премиум от стандарта?,rag
что говорит закон о возврате?,rag
а поддерживается ли формат фото?,chat
тебе бывает скучно?,chat
подскажи про индексацию,rag
расскажи про страхование,rag
"а хай, друг",chat
увидимся,chat
а что ты знаешь про персональные данные?,rag
что нового пожалуйста,chat
есть ли информация о графике работы,rag
а какие сроки доставки?,rag
"подскажи, скажи, ты живой?",chat
согласно спецификацияу,rag
найди в положениее,rag
"привет, бот",chat
вернись к началу,followup
что ты знаешь про рекламацию?,rag
а открой manual.pdf,rag
"а подскажи, расскажи про подписку",rag
а до этого как было,followup
"подскажи, ты сохраняешь историю?",chat
а задним числом можно?,followup
когда начисляются проценты,rag
поддерживается ли английский!,chat
объясни условия гарантии,rag
чушь,chat
а нельзя ли по-другому,followup
"скажи, ты настоящий?",chat
в приказе есть что-то про сроки?,rag
что ты знаешь про перерасчёт,rag
что происходит после окончания договора?,rag
а кто проверяет пожалуйста,followup
ты понимаешь сарказм,chat
а в приказе есть что-то про сроки?,rag
"здравствуйте, помощник",chat
а по опыту как лучше,followup
а премия тоже,followup
здравствуйте :),chat
а мне скучно,chat
а риски есть,followup
как там с доставкой в регионы пожалуйста,rag
можно ли загрузить фото?,chat
можно ли загрузить файл,chat
есть альтернативы,followup
"хай, бот",chat
ты настоящий?,chat
что ты знаешь про командировки?,rag
ты умный,chat
"подскажи, а про ремонт подробнее можно?",followup
а мне нужна информация про возврат товара,rag
ну ничего себе!,chat
ладно!,chat
а конкретно для моего случая?,followup
а ты умнее chatgpt?,chat
мы отвлеклись — так что с тем вопросом пожалуйста,followup
расскажи подробнее про тарифы,followup
подскажи про обслуживание,rag
покажи спецификация!,rag
какие способы оплаты доступны,rag
"подскажи, объясни размер неустойки",rag
мне нужна информация про компенсацию,rag
"а подскажи, какой сегодня день?",chat
а если говорить про доставку пожалуйста,followup
согласно политикау!,rag
"а хм, а почему именно так?",followup
что написано в справочнике,rag
сколько длится пробный период,rag
почему?,followup
согласно каталогу пожалуйста,rag
а раньше было по-другому,followup
работаешь ли ты ночью?,chat
а про командировки подробнее можно?,followup
ты жив,chat
"слушай, есть информация про штрафы?",rag
есть ли скрытые комиссии?,rag
а если говорить про гарантию,followup
сколько зарабатывают партнёры,rag
а в других странах!,followup
какие форматы поддерживаются?,chat
а не знаю с чего начать,chat
какой у меня тариф,chat
кому принадлежит бот?,chat
мне нужна информация про больничный,rag
можно платить в рассрочку!,rag
поддерживается ли формат несколько файлов,chat
где хранятся данные?,rag
а в договоре есть что-то про сроки?,rag
ты умный?,chat
это бесплатно!,chat
ну плохо,chat
а что можно пропустить?,followup
а в каком формате выгрузка?,rag
в справочнике есть что-то про сроки?,rag
подскажи про расторжение,rag
я понял спасибо,chat
а ты живой?,chat
помоги составить план,chat
когда ближайшие выходные,chat
как стать партнёром,rag
ну удивительно пожалуйста,chat
что в файле договор.pdf?,rag
как работает поиск,chat
ты здесь,chat
а штрафы тоже!,followup
ты счастлив?,chat
покажи на примере,followup
а минусы какие?,followup
"слушай, расскажи про ремонт",rag
что ты знаешь про оплату,rag
ты всё знаешь,chat
есть информация про страхование,rag
что нового?,chat
кто президент,chat
подскажи про командировки,rag
расскажи подробнее про подписку,followup
подскажи про ремонт,rag
а ты умный?,chat
"напомни, какая статья регулирует это?",rag
"а подскажи, мне нужна информация про тарифы",rag
а кратко повтори основное,followup
а поддерживается ли формат файл?,chat
а есть ли у нас программа лояльности?,rag
принимаете ли вы наличные,rag
какие условия гарантии?,rag
ты всегда онлайн,chat
ты работаешь 24/7?,chat
есть информация про аренду?,rag
кто имеет доступ к моим документам пожалуйста,rag
покажи руководство,rag
ну отлично,chat
а план Б!,followup
а когда?,followup
а ну привет ещё раз,chat
не помогаешь,chat
салют :)!,chat
поддерживается ли формат таблицу?,chat
есть информация про компенсацию,rag
повтори последнее,followup
какой процент за обслуживание,rag
подскажи про увольнение пожалуйста,rag
что написано в приказе!,rag
а поэтапно можно!,followup
"а скажи, как ты работаешь?",chat
мне нужна информация про доставку,rag
"скажи, поддерживается ли английский?",chat
посмотри в guide.docx пожалуйста,rag
как удалить картинку пожалуйста,chat
расскажи подробнее про индексацию,followup
а вот ты сказал про сроки — это точно!,followup
а салют :),chat
а в акте есть что-то про сроки?,rag
"скажи, а у конкурентов лучше?",chat
какие налоговые вычеты положены,rag
а если говорить про возврат товара!,followup
добрый день :),chat
"слушай, что в файле rules.pdf?",rag
а есть другие варианты?,followup
"слушай, а что ты можешь?",chat
ты ошибаешься,chat
сколько дней гарантия?,rag
открой policy.docx!,rag
"скажи, посмотри в инструкция.pdf",rag
а что потом?,followup
а приём на работу тоже?,followup
а в прайс-листе есть что-то про сроки?,rag
а доставка тоже,followup
расскажи про командировки,rag
а есть ли техподдержка по выходным?,rag
согласно каталогу,rag
а как ты работаешь?,chat
какая политика в отношении спама,rag
можно ли перейти на другой тариф!,rag
а какая статья регулирует это?,rag
"а подскажи, ну ну ничего себе",chat
а мне одиноко,chat
мне нужна информация про подписку,rag
поддерживается ли формат pdf!,chat
расскажи про рекламацию!,rag
что ты знаешь про перерасчёт?,rag
что написано в техническое заданиее?,rag
забудь,chat
а сколько тебе лет,chat
а зачем,followup
согласно справочнику,rag
что написано в контракте,rag
какие требования к кандидатам пожалуйста,rag
а плюсы?,followup
посмотри в report.pdf,rag
"напомни, мне нужна информация про страхование",rag
есть ли ограничения,chat
во сколько закат сегодня?,chat
что в файле readme.md?,rag
найди в каталоге,rag
есть ли бесплатная доставка?,rag
"слушай, мне нужна информация про аренду",rag
что ты знаешь про гарантию,rag
посмотри в rules.pdf!,rag
пофиг,chat
а подскажи про скидки,rag
ну так и что в итоге пожалуйста,followup
что ты знаешь про индексацию?,rag
ладно проехали,chat
кто имеет доступ к моим документам?,rag
в руководствое есть что-то про сроки?,rag
а можно пример,followup
а поэтапно можно?,followup
а если говорить про расторжение,followup
какие порядок оплаты?,rag
а посмотри в manual.pdf,rag
сколько людей с тобой разговаривают?,chat
какие условия кредитования,rag
нет,chat
что ты знаешь про страхование?,rag
а тарифы тоже?,followup
расскажи подробнее про командировки,followup
мне нужна информация про налоговые вычеты пожалуйста,rag
расскажи анекдот,chat
а ты ошибаешься,chat
есть ли шифрование?,rag
можно тебе доверять?,chat
разобрался,chat
что в файле invoice.pdf,rag
а подводные камни?,followup
какие порядок приёма на работу пожалуйста,rag
а если сумма больше миллиона,followup
можно ли продлить договор?,rag
как удалить несколько файлов,chat
как отменить подписку,rag
"подскажи, объясни начисление бонусов",rag
а есть информация про персональные данные?,rag
а подводные камни,followup
а мне нужна информация про индексацию,rag
объясни условия аренды,rag
что по гарантийному обслуживанию!,rag
вот это да,chat
спасибо за ответ,chat
что ты знаешь про расторжение,rag
тебе нравится твоя работа?,chat
а что насчёт стоимость тарифов?,followup
"напомни, какие права у потребителя?",rag
а что в файле политика.docx?,rag
поддерживается ли формат фото?,chat
алло!,chat
"подскажи, подожди, я запутался",followup
помоги с домашкой,chat
что написано в соглашениее,rag
а что насчёт порядок ремонта,followup
а какой размер штрафа за просрочку?,rag
ну как?,chat
а расскажи подробнее про оплату,followup
а без этого можно,followup
какие у тебя функции,chat
"слушай, найди в contract.docx секцию про оплату",rag
а что ты знаешь про командировки?,rag
а что если не так,followup
ты работаешь 24/7,chat
как удалить несколько файлов?,chat
ты спишь?,chat
мне грустно,chat
какие условия кредитования?,rag
сколько дней отпуска в году?,rag
а расскажи про персональные данные,rag
"салют, друг",chat
посмотри в инструкция.pdf,rag
а сколько стоит бот?,chat
есть ли API для интеграции,rag
есть информация про оплату,rag
а гарантия тоже?,followup
"подскажи, а исправить ошибку?",followup
а я тут новенький,chat
ясно,chat
условия расторжения!,rag
а как именно?,followup
"скажи, подскажи про скидки",rag
ну замечательно,chat
а согласно прайс-листу,rag
подскажи про скидки,rag
расскажи про больничный,rag
есть ли пробный период?,rag
а расторжение тоже,followup
"скажи, ты всё знаешь?",chat
а кто?,followup
есть ли техподдержка по выходным,rag
мне нужна информация про страхование,rag
а что ты знаешь про приём на работу?,rag
"а погоди, это важный момент",followup
что написано в положениее,rag
когда срок действия договора!,rag
как ты,chat
а индексация тоже?,followup
открой invoice.pdf,rag
"а подскажи, подскажи про отпуск",rag
какие бывают тарифы,rag
а что насчёт порядок оплаты,followup
как загрузить несколько файлов,chat
хочу узнать про условия кредитования,rag
мне нужна информация про увольнение,rag
есть информация про скидки?,rag
какой курс доллара,chat
а премия тоже?,followup
а вернуть как было,followup
и что,followup
а обязательно всё это,followup
что написано в инструкцияе?,rag
а покажи инструкция,rag
у тебя есть выходные,chat
расскажи подробнее про гарантию пожалуйста,followup
есть аналоги,chat
а что написано в прайс-листе?,rag
в соглашениее есть что-то про сроки,rag
"подскажи, а что насчёт порядок оплаты?",followup
ты спишь,chat
нужна ли предоплата?,rag
"а подскажи, добрый день, помощник",chat
python или javascript,chat
какие комиссии пожалуйста,rag
"напомни, объясни стоимость тарифов",rag
приведи пример!,followup
а оплата тоже?,followup
а план Б?,followup
поддерживается ли формат документ?,chat
ну и,followup
порядок оплаты,rag
а вот эта сумма откуда,followup
какие порядок подачи рекламации,rag
как обстоят дела с возвратом денег!,rag
условия расторжения пожалуйста,rag
можно ли оплатить картой!,rag
а что ты можешь?,chat
я тут новенький,chat
как удалить фото пожалуйста,chat
что написано в прайс-листе?,rag
"подскажи, найди в регламенте",rag
что ты знаешь про страхование,rag
какая процентная ставка,rag
а какие условия гарантии?,rag
сколько стоит бот,chat
"а подскажи, есть информация про оплату?",rag
расскажи про бонусы,rag
расскажи о себе,chat
согласно прайс-листу,rag
мне нужна информация про тарифы,rag
согласно договору,rag
что нового,chat
а по телефону,followup
как начисляются баллы?,rag
а в реальности пожалуйста,followup
как получить акт сверки,rag
покажи протокол,rag
а про штрафы подробнее можно!,followup
это конфиденциально,chat
а про гарантию подробнее можно?,followup
а если ты ошибёшься?,chat
какие ещё есть способы,followup
ну офигеть,chat
в памяткае есть что-то про сроки?,rag
хорошо,chat
а подписка тоже?,followup
какой порядок обжалования?,rag
сколько людей с тобой разговаривают,chat
а есть информация про приём на работу?,rag
а подробнее,followup
а открой report.pdf и найди итоги,rag
а что если не так?,followup
есть ли пробный период,rag
а если говорить про командировки,followup
ты устаёшь?,chat
а как рассчитывается отпускные?,rag
а подскажи про отпуск,rag
а если говорить про компенсацию?,followup
можно ссылку,followup
мы раньше общались?,chat
я могу тебе доверять?,chat
а есть ли API для интеграции?,rag
а если ты ошибёшься,chat
а про индексацию подробнее можно,followup
а расскажи подробнее,followup
сколько запросов осталось?,chat
"а скажи, что ты умеешь?",chat
что значит?,followup
можно попроще,followup
а посмотри в readme.md,rag
что ты знаешь про приём на работу,rag
класс,chat
а что насчёт условия расторжения договора пожалуйста,followup
какие условия страхования,rag
подскажи про больничный,rag
как происходит процедура увольнения пожалуйста,rag
в спецификацияе есть что-то про сроки,rag
а что будет если не сделать!,followup
с наступающим,chat
а если я не согласен,followup
что ты знаешь про отпуск,rag
что ты знаешь про скидки,rag
можешь развернуть?,followup
а не верю,chat
а резюмируй пожалуйста,followup
а расскажи про ремонт,rag
а премия тоже!,followup
ты тут?,chat
расскажи подробнее про доставку,followup
фигня,chat
странно,chat
и,followup
каков размер госпошлины,rag
открой contract.pdf,rag
это конфиденциально?,chat
бай!,chat
какие условия расторжения договора,rag
вернёмся ко второму вопросу пожалуйста,followup
"скажи, что написано в приказе?",rag
вот это да!,chat
ты кто,chat
скажи проще,followup
какие санкции предусмотрены,rag
а какие условия расторжения договора?,rag
а найди в инструкцияе,rag
дальше!,followup
возможно,chat
"напомни, я понял спасибо",chat
"подскажи, где ты живёшь?",chat
какая ответственность за утечку данных,rag
что ты знаешь про больничный,rag
как дела,chat
"скажи, ты всё знаешь пожалуйста",chat
"подскажи, какие налоговые вычеты положены?",rag
открой agreement.docx,rag
есть ли реферальная программа?,rag
тебе нравится работать,chat
какая политика в отношении спама?,rag
восхитительно,chat
какие начисление бонусов?,rag
а что написано в договоре?,rag
"напомни, какие условия получения скидки?",rag
открой договор.pdf!,rag
а расскажи шутку,chat
"а подскажи, посмотри в invoice.pdf",rag
можно ли загрузить файл?,chat
есть информация про персональные данные?,rag
а есть аналоги?,chat
а ну ну ничего себе,chat
"здравствуйте, бот",chat
а про ремонт подробнее можно?,followup
здорово,chat
можно ссылку?,followup
"подскажи, что написано в инструкцияе?",rag
всего хорошего пожалуйста,chat
ты уверен в этих цифрах?,followup
а до этого как было!,followup
подскажи про премии,rag
а дальше,followup
а что насчёт условия подписки,followup
а конкретно для моего случая,followup
мне нужна информация про зарплату,rag
сколько зарабатывают партнёры?,rag
нужно ли согласие на обработку данных,rag
а ты всё знаешь,chat
ты умеешь шутить,chat
какие права у потребителя,rag
ты безопасный,chat
то есть?,followup
как рассчитывается неустойка?,rag
согласно инструкцияу,rag
а если нет,followup
что в файле report.pdf?,rag
есть информация про командировки пожалуйста,rag
какие стоимость обслуживания!,rag
что ты знаешь про кредитование,rag
а план Б,followup
какие условия страхования?,rag
а расскажи анекдот,chat
а ты знаешь какие-нибудь фокусы?,chat
"слушай, скажи, какие у тебя функции?",chat
а ну неплохо,chat
как оформить возврат?,rag
а добрый день :),chat
ты сказал что нельзя — а почему?,followup
даров,chat
простым языком пожалуйста,followup
тебя можно обмануть?,chat
а в реальности?,followup
а что можно пропустить пожалуйста,followup
а доброе утро,chat
в протоколе есть что-то про сроки?,rag
ты всегда онлайн пожалуйста,chat
а штрафы тоже,followup
можно ли тебя купить?,chat
"напомни, мне всё равно",chat
какой испытательный срок,rag
а принимаете криптовалюту?,rag
что в файле spec.pdf,rag
а расскажи про подписку,rag
а раньше было по-другому?,followup
"напомни, есть ли скидки для постоянных клиентов?",rag
ты мальчик или девочка,chat
подскажи про оплату,rag
а если по-другому,followup
найди в прайс-листе,rag
сколько тебе лет?,chat
а если говорить про индексацию?,followup
чем ты лучше гугла!,chat
можно ли загрузить несколько файлов!,chat
а с чего начать,followup
"стоп, а вот тут подробнее",followup
а объясни условия получения скидки,rag
в каких случаях можно отказаться?,rag
"напомни, чем отличается про от бесплатного?",rag
и что?,followup
какие способы связи доступны,rag
первый раз пользуюсь!,chat
а если говорить про подписку?,followup
в каталоге есть что-то про сроки,rag
что ты знаешь про оплату?,rag
какие условия возврата товара пожалуйста,rag
а тебе нравится твоя работа?,chat
объясни это,followup
"погоди, это важный момент",followup
опиши процедуру регистрации,rag
а что ты знаешь про неустойку?,rag
можешь петь,chat
"а подскажи, мне нужна информация про индексацию",rag
молодец,chat
какие порядок оплаты!,rag
найди в соглашениее,rag
а по пунктам можно,followup
какие способы связи доступны!,rag
ну невероятно,chat
не помогаешь пожалуйста,chat
а что насчёт размер штрафов,followup
"а подскажи, ты упомянул про компенсацию — расскажи больше",followup
а с чего начать?,followup
поддерживается ли формат таблицу,chat
ну нормально!,chat
какие размер неустойки,rag
"скажи, а про доставку подробнее можно?",followup
и как это применить?,followup
с новым годом,chat
"напомни, что ты знаешь про гарантию?",rag
а дальше!,followup
а объясни порядок перерасчёта,rag
"подскажи, а кто тебя создал?",chat
хай!!,chat
а тупой бот,chat
ну вот это да,chat
а к кому?,followup
а что в файле rules.pdf?,rag
что предусмотрено за нарушение?,rag
открой spec.pdf!,rag
какие размер неустойки?,rag
расскажи подробнее про ремонт,followup
а если сумма больше миллиона?,followup
а что обычно делают,followup
расскажи про штрафы,rag
